#,Name,Name Src,Name Alt Text,Name Url,Price,Price Url,1h %,24h %,7d %,Market Cap,Volume(24h),Volume(24h) Url,Circulating Supply,Last 7 Days,Last 7 Days Src,Last 7 Days Alt Text,Last 7 Days Url,Column-11
1,"Bitcoin

BTC",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC logo,https://coinmarketcap.com/currencies/bitcoin/,"$23,700.11",https://coinmarketcap.com/currencies/bitcoin/markets/,0.16%,2.01%,4.25%,"$457,184,412,321","$25,697,303,623

1,085,325 BTC",https://coinmarketcap.com/currencies/bitcoin/markets/,"19,276,756 BTC",,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1.svg,bitcoin-7d-price-graph,https://coinmarketcap.com/currencies/bitcoin/?period=7d,
2,"Ethereum

ETH",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH logo,https://coinmarketcap.com/currencies/ethereum/,"$1,633.73",https://coinmarketcap.com/currencies/ethereum/markets/,0.36%,2.29%,0.01%,"$200,060,979,789","$7,984,555,992

4,888,436 ETH",https://coinmarketcap.com/currencies/ethereum/markets/,"122,373,866 ETH",,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1027.svg,ethereum-7d-price-graph,https://coinmarketcap.com/currencies/ethereum/?period=7d,
3,"Tether

USDT",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT logo,https://coinmarketcap.com/currencies/tether/,$1.00,https://coinmarketcap.com/currencies/tether/markets/,0.00%,0.02%,0.01%,"$67,783,425,349","$31,911,119,321

31,907,441,639 USDT",https://coinmarketcap.com/currencies/tether/markets/,"67,776,034,768 USDT",,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/825.svg,tether-7d-price-graph,https://coinmarketcap.com/currencies/tether/?period=7d,
4,"BNB

BNB",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB logo,https://coinmarketcap.com/currencies/bnb/,$314.33,https://coinmarketcap.com/currencies/bnb/markets/,0.46%,2.00%,3.08%,"$49,684,693,358","$652,120,137

2,074,637 BNB",https://coinmarketcap.com/currencies/bnb/markets/,"157,901,976 BNB",,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1839.svg,bnb-7d-price-graph,https://coinmarketcap.com/currencies/bnb/?period=7d,
5,"USD Coin

USDC",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC logo,https://coinmarketcap.com/currencies/usd-coin/,$1.00,https://coinmarketcap.com/currencies/usd-coin/markets/,0.00%,0.00%,0.01%,"$43,089,761,941","$2,775,678,868

2,775,597,042 USDC",https://coinmarketcap.com/currencies/usd-coin/markets/,"43,090,654,487 USDC",,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3408.svg,usd-coin-7d-price-graph,https://coinmarketcap.com/currencies/usd-coin/?period=7d,
6,"XRP

XRP",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP logo,https://coinmarketcap.com/currencies/xrp/,$0.4122,https://coinmarketcap.com/currencies/xrp/markets/,0.59%,0.35%,1.47%,"$20,923,581,723","$745,899,322

1,809,514,866 XRP",https://coinmarketcap.com/currencies/xrp/markets/,"50,803,611,248 XRP",,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/52.svg,xrp-7d-price-graph,https://coinmarketcap.com/currencies/xrp/?period=7d,
7,"Binance USD

BUSD",https://s2.coinmarketcap.com/static/img/coins/64x64/4687.png,BUSD logo,https://coinmarketcap.com/currencies/binance-usd/,$1.00,https://coinmarketcap.com/currencies/binance-usd/markets/,0.05%,0.00%,0.01%,"$15,707,214,244","$9,298,326,632

9,298,033,653 BUSD",https://coinmarketcap.com/currencies/binance-usd/markets/,"15,704,383,591 BUSD",,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4687.svg,binance-usd-7d-price-graph,https://coinmarketcap.com/currencies/binance-usd/?period=7d,
8,"Cardano

ADA",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA logo,https://coinmarketcap.com/currencies/cardano/,$0.3917,https://coinmarketcap.com/currencies/cardano/markets/,0.26%,1.31%,5.28%,"$13,551,235,990","$314,916,243

805,108,268 ADA",https://coinmarketcap.com/currencies/cardano/markets/,"34,593,779,088 ADA",,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2010.svg,cardano-7d-price-graph,https://coinmarketcap.com/currencies/cardano/?period=7d,
9,"Dogecoin

DOGE",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE logo,https://coinmarketcap.com/currencies/dogecoin/,$0.08909,https://coinmarketcap.com/currencies/dogecoin/markets/,0.35%,0.40%,1.05%,"$11,819,966,646","$455,856,312

5,119,661,516 DOGE",https://coinmarketcap.com/currencies/dogecoin/markets/,"132,670,764,300 DOGE",,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/74.svg,dogecoin-7d-price-graph,https://coinmarketcap.com/currencies/dogecoin/?period=7d,
10,"Polygon

MATIC",https://s2.coinmarketcap.com/static/img/coins/64x64/3890.png,MATIC logo,https://coinmarketcap.com/currencies/polygon/,$1.16,https://coinmarketcap.com/currencies/polygon/markets/,0.08%,0.94%,15.65%,"$10,115,706,265","$586,643,581

508,070,176 MATIC",https://coinmarketcap.com/currencies/polygon/markets/,"8,734,317,475 MATIC",,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3890.svg,polygon-7d-price-graph,https://coinmarketcap.com/currencies/polygon/?period=7d,
